Inventory_ID,Product_ID,Warehouse_ID,Current_Stock,Reorder_Level,Monthly_Sales,Defect_Count
INV-1001,PROD-501,WH-CENTRAL,261,54,237,6
INV-1002,PROD-502,WH-CENTRAL,287,58,226,14
INV-1003,PROD-503,WH-EAST,465,100,82,6
INV-1004,PROD-503,WH-CENTRAL,245,101,115,3
INV-1005,PROD-504,WH-WEST,235,64,190,12
INV-1006,PROD-504,WH-CENTRAL,40,62,179,6
INV-1007,PROD-505,WH-EAST,288,115,189,12
INV-1008,PROD-506,WH-WEST,138,77,47,11
INV-1009,PROD-506,WH-CENTRAL,48,133,305,13
INV-1010,PROD-507,WH-CENTRAL,352,138,250,13
INV-1011,PROD-508,WH-WEST,287,111,140,3
INV-1012,PROD-509,WH-WEST,363,119,156,13
INV-1013,PROD-510,WH-WEST,238,93,171,14
INV-1014,PROD-511,WH-EAST,100,137,252,3
INV-1015,PROD-512,WH-CENTRAL,446,101,287,13
INV-1016,PROD-513,WH-CENTRAL,117,105,100,10
INV-1017,PROD-514,WH-EAST,224,103,362,4
INV-1018,PROD-515,WH-WEST,407,51,72,11
INV-1019,PROD-515,WH-CENTRAL,222,81,217,6
