Inventory_ID,Product_ID,Warehouse_ID,Current_Stock,Reorder_Level,Monthly_Sales,Defect_Count,Product_Name,Category,Unit_Cost,Unit_Price,Supplier_ID,Inventory_Value,Potential_Revenue,Profit_Margin_Per_Unit,Stock_Status,Cumulative_Value,Cumulative_Percentage,ABC_Category
INV-1015,PROD-512,WH-CENTRAL,446,101,287,13,Label Printer,Warehouse Tools,282,375.73,SUP-106,125772,167575.58000000002,93.73000000000002,Overstocked,125772,18.202579900051667,Class A
INV-1013,PROD-510,WH-WEST,238,93,171,14,Document Shredder,Office Supplies,275,431.89,SUP-109,65450,102789.81999999999,156.89,Optimal,191222,27.674949381799447,Class A
INV-1002,PROD-502,WH-CENTRAL,287,58,226,14,Mechanical Keyboard,Electronics,227,307.69,SUP-101,65149,88307.03,80.69,Overstocked,256371,37.103756094807636,Class A
INV-1012,PROD-509,WH-WEST,363,119,156,13,Desk Lamp,Office Supplies,177,268.34,SUP-110,64251,97407.41999999998,91.33999999999997,Overstocked,320622,46.40259813562928,Class A
INV-1005,PROD-504,WH-WEST,235,64,190,12,USB-C Hub,Electronics,266,383.79,SUP-112,62510,90190.65000000001,117.79000000000002,Overstocked,383132,55.44947080643223,Class A
INV-1001,PROD-501,WH-CENTRAL,261,54,237,6,Wireless Mouse,Electronics,229,322.51,SUP-113,59769,84175.11,93.50999999999999,Overstocked,442901,64.0996473007727,Class A
INV-1010,PROD-507,WH-CENTRAL,352,138,250,13,Standing Desk,Office Supplies,143,182.97,SUP-107,50336,64405.44,39.97,Optimal,493237,71.38461582992863,Class B
INV-1017,PROD-514,WH-EAST,224,103,362,4,Hand Truck,Warehouse Tools,186,270.63,SUP-110,41664,60621.119999999995,84.63,Optimal,534901,77.41451349360379,Class B
INV-1003,PROD-503,WH-EAST,465,100,82,6,27-inch Monitor,Electronics,67,96.12,SUP-108,31155,44695.8,29.120000000000005,Overstocked,566056,81.9234771483609,Class B
INV-1011,PROD-508,WH-WEST,287,111,140,3,Notebook Pack,Office Supplies,77,117.52,SUP-100,22099,33728.24,40.519999999999996,Optimal,588155,85.12179484396279,Class B
INV-1018,PROD-515,WH-WEST,407,51,72,11,Pallet Jack,Warehouse Tools,49,68.06,SUP-104,19943,27700.420000000002,19.060000000000002,Overstocked,608098,88.00808154487181,Class B
INV-1004,PROD-503,WH-CENTRAL,245,101,115,3,27-inch Monitor,Electronics,67,96.12,SUP-108,16415,23549.4,29.120000000000005,Optimal,624513,90.38377207264708,Class C
INV-1007,PROD-505,WH-EAST,288,115,189,12,Noise Cancelling Headphones,Electronics,55,72.52,SUP-112,15840,20885.76,17.519999999999996,Optimal,640353,92.67624468671711,Class C
INV-1008,PROD-506,WH-WEST,138,77,47,11,Ergonomic Chair,Office Supplies,79,95.29,SUP-108,10902,13150.02,16.290000000000006,Optimal,651255,94.25405633056761,Class C
INV-1019,PROD-515,WH-CENTRAL,222,81,217,6,Pallet Jack,Warehouse Tools,49,68.06,SUP-104,10878,15109.32,19.060000000000002,Optimal,662133,95.82839453106344,Class C
INV-1006,PROD-504,WH-CENTRAL,40,62,179,6,USB-C Hub,Electronics,266,383.79,SUP-112,10640,15351.6,117.79000000000002,Low Stock,672773,97.36828775162564,Class C
INV-1016,PROD-513,WH-CENTRAL,117,105,100,10,Packaging Tape Dispenser,Warehouse Tools,76,101.09,SUP-102,8892,11827.53,25.090000000000003,Optimal,681665,98.65519851452406,Class C
INV-1014,PROD-511,WH-EAST,100,137,252,3,Barcode Scanner,Warehouse Tools,55,86.13,SUP-108,5500,8613.0,31.129999999999995,Low Stock,687165,99.45119594996504,Class C
INV-1009,PROD-506,WH-CENTRAL,48,133,305,13,Ergonomic Chair,Office Supplies,79,95.29,SUP-108,3792,4573.92,16.290000000000006,Low Stock,690957,100.0,Class C
